     Done in : 0:05:55.404446 for 2020-08-31 20:00:01
         15406893 function calls (15404931 primitive calls) in 390.855 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      778  264.849    0.340  264.862    0.340 {method 'poll' of 'select.poll' objects}
      378   93.228    0.247   93.242    0.247 {built-in method time.sleep}
   362/19   18.128    0.050    0.267    0.014 {method 'acquire' of '_thread.lock' objects}
   587010    2.849    0.000    2.849    0.000 {method 'mogrify' of 'psycopg2.extensions.cursor' objects}
   291478    2.563    0.000    3.013    0.000 {built-in method posix.stat}
       13    1.780    0.137    1.780    0.137 {method 'execute' of 'psycopg2.extensions.cursor' objects}
   288040    0.881    0.000   11.287    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/autoreload.py:408(snapshot_files)
      778    0.765    0.001  277.756    0.357 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/selectors.py:402(select)
   574564    0.724    0.000    1.099    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:519(__eq__)
   805769    0.419    0.000    1.086    0.000 {method 'get' of 'dict' objects}
  1277684    0.279    0.000    0.675    0.000 /Users/nico/projects/climato/app/classes/data_loader/dl_weewx.py:75(getValues)
    34530    0.276    0.000    0.286    0.000 {built-in method builtins.eval}
  1151399    0.257    0.000    0.258    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:484(_str_normcase)
   294547    0.251    0.000    0.368    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:447(__fspath__)
        2    0.240    0.120    0.240    0.120 {method 'commit' of 'psycopg2.extensions.connection' objects}
   908004    0.239    0.000    0.248    0.000 {built-in method builtins.isinstance}
  1151399    0.236    0.000    0.243    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:524(__hash__)
  406/395    0.234    0.001  976.379    2.472 {built-in method builtins.next}
   307369    0.224    0.000    0.344    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/autoreload.py:115(<genexpr>)
   288493    0.218    0.000    0.272    0.000 {method 'add' of 'set' objects}
   291445    0.196    0.000    6.794    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:836(stat)
      381    0.167    0.000    0.167    0.000 {built-in method builtins.sorted}
      3/2    0.158    0.053    0.468    0.234 /Users/nico/projects/climato/app/classes/data_loader/bulk_data_loader.py:82(loadObs)
       90    0.156    0.002   18.625    0.207 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:302(wait)
   288040    0.118    0.000    1.148    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/autoreload.py:299(watched_files)
   299165    0.107    0.000    0.118    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:437(__str__)
      379    0.097    0.000    0.657    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/django/utils/autoreload.py:109(iter_all_python_module_files)
   938875    0.079    0.000    0.079    0.000 {method 'append' of 'list' objects}
   587011    0.078    0.000    0.104    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:197(__get__)
     2274    0.078    0.000    0.080    0.000 {built-in method posix.scandir}
  1277758    0.070    0.000    0.070    0.000 /Users/nico/projects/climato/app/classes/data_loader/dl_weewx.py:72(isMesureQualified)
   587014    0.065    0.000    0.065    0.000 {method 'decode' of 'bytes' objects}
   310772    0.059    0.000    1.613    0.000 /Users/nico/projects/climato/app/classes/data_loader/bulk_data_loader.py:134(<genexpr>)
        3    0.057    0.019    0.057    0.019 {built-in method psycopg2._psycopg._connect}
        2    0.050    0.025    0.050    0.025 {method 'fetchall' of 'psycopg2.extensions.cursor' objects}
    69070    0.044    0.000    0.044    0.000 {method 'replace' of 'datetime.datetime' objects}
     2653    0.038    0.000    0.115    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:200(_select_from)
    34536    0.038    0.000    0.038    0.000 {method 'fetch_row' of '_mysql_connector.MySQL' objects}
1645/1644    0.033    0.000    0.662    0.000 {method 'join' of 'str' objects}
   172646    0.033    0.000    0.918    0.000 /Users/nico/projects/climato/app/classes/data_loader/bulk_data_loader.py:200(<genexpr>)
