POSTE;DATE;RR1;QRR1;T;QT;TD;QTD;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;PSTAT;QPSTAT;PMER;QPMER;PMERMIN;QPMERMIN;FF;QFF;DD;QDD;FXI;QFXI;DXI;QDXI;HXI;QHXI;U;QU;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;GLO;QGLO
97401520;2024041814;0,0;t;18,5;t;;;18,0;t;1315;t;18,5;t;1355;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97402240;2024041814;0,0;t;24,2;t;18,2;t;24,1;t;1301;t;25,5;t;1315;t;;;;;;;5,6;t;120;t;11,6;t;120;t;1323;t;69;t;61;t;1340;t;69;t;1400;t;257;t
97403410;2024041814;0,0;t;15,9;t;;;15,9;t;1358;t;17,7;t;1328;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97403435;2024041814;0,0;t;25,0;t;;;24,3;t;1312;t;25,0;t;1357;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97404540;2024041814;0,0;t;26,7;t;18,0;t;26,5;t;1317;t;26,8;t;1343;t;;;;;;;7,0;t;130;t;13,6;t;130;t;1344;t;59;t;55;t;1302;t;59;t;1358;t;100;t
97405420;2024041814;0,0;t;19,8;t;;;19,5;t;1303;t;20,5;t;1334;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97406220;2024041814;0,0;t;19,0;t;14,7;t;18,8;t;1358;t;19,9;t;1326;t;;;;;;;3,1;t;360;t;7,9;t;30;t;1305;t;76;t;68;t;1327;t;76;t;1359;t;158;t
97407520;2024041814;0,0;t;29,5;t;17,7;t;27,9;t;1301;t;29,5;t;1400;t;1016,9;t;1018,0;t;1018,0;t;3,2;t;270;t;6,2;t;230;t;1303;t;49;t;48;t;1335;t;56;t;1303;t;221;t
97408510;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97408511;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97408560;2024041814;0,0;t;21,3;t;;;20,5;t;1301;t;21,5;t;1344;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97408580;2024041814;0,0;t;18,0;t;;;17,5;t;1326;t;18,9;t;1304;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97408582;2024041814;0,0;t;19,3;t;;;18,5;t;1318;t;20,2;t;1344;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97409210;2024041814;0,0;t;26,7;t;;;26,4;t;1340;t;28,2;t;1309;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97409240;2024041814;0,0;t;25,9;t;;;25,7;t;1353;t;26,3;t;1305;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97410202;2024041814;0,0;t;27,5;t;;;26,8;t;1335;t;27,5;t;1400;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97410238;2024041814;0,0;t;27,8;t;19,1;t;26,5;t;1320;t;28,3;t;1351;t;;;;;;;6,5;t;110;t;13,4;t;140;t;1326;t;59;t;58;t;1317;t;62;t;1313;t;226;t
97410250;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97410265;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97411132;2024041814;0,0;t;28,4;t;;;27,9;t;1312;t;28,8;t;1303;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97411141;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97411142;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97411146;2024041814;0,0;t;22,1;t;;;21,6;t;1333;t;22,3;t;1321;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97411150;2024041814;0,0;t;23,8;t;;;23,5;t;1331;t;24,4;t;1307;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97411155;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97411164;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97411170;2024041814;0,0;t;15,0;t;;;14,9;t;1352;t;15,8;t;1309;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97412302;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97412336;2024041814;0,0;t;18,9;t;;;18,1;t;1301;t;19,2;t;1348;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97412340;2024041814;0,0;t;22,6;t;;;22,6;t;1357;t;23,6;t;1341;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97412356;2024041814;0,0;t;19,5;t;;;19,4;t;1349;t;20,6;t;1319;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97412384;2024041814;0,0;t;26,0;t;;;26,0;t;1358;t;26,8;t;1301;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97413520;2024041814;0,0;t;20,9;t;14,8;t;20,2;t;1321;t;20,9;t;1301;t;;;;;;;1,4;t;10;t;4,6;t;350;t;1315;t;68;t;68;t;1351;t;75;t;1305;t;65;t
97413542;2024041814;0,0;t;26,5;t;;;26,3;t;1345;t;27,1;t;1301;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97413580;2024041814;0,0;t;21,5;t;;;21,4;t;1343;t;21,7;t;1301;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97414409;2024041814;0,0;t;18,6;t;;;18,1;t;1303;t;18,6;t;1356;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97415516;2024041814;0,0;t;24,9;t;;;22,3;t;1305;t;25,0;t;1350;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97415536;2024041814;0,0;t;17,3;t;13,1;t;16,1;t;1301;t;17,3;t;1351;t;;;;;;;0,9;t;270;t;3,3;t;260;t;1341;t;76;t;76;t;1358;t;89;t;1301;t;92;t
97415541;2024041814;0,0;t;23,0;t;;;20,5;t;1301;t;23,0;t;1400;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97415557;2024041814;0,0;t;19,5;t;;;17,9;t;1301;t;19,5;t;1359;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97415566;2024041814;0,0;t;16,3;t;11,9;t;14,1;t;1301;t;16,8;t;1358;t;;;;;;;2,7;t;120;t;9,7;t;90;t;1333;t;75;t;55;t;1334;t;89;t;1304;t;317;t
97415590;2024041814;0,0;t;27,5;t;19,3;t;27,4;t;1320;t;27,7;t;1307;t;;;;;;;7,5;t;160;t;13,7;t;170;t;1346;t;61;t;57;t;1353;t;62;t;1310;t;105;t
97416463;2024041814;0,0;t;27,6;t;18,8;t;26,8;t;1301;t;28,2;t;1312;t;1015,3;t;1018,0;t;1018,0;t;11,7;t;130;t;18,0;t;140;t;1400;t;59;t;53;t;1315;t;60;t;1334;t;260;t
97417340;2024041814;0,0;t;25,2;t;;;25,2;t;1329;t;25,7;t;1301;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97417360;2024041814;0,0;t;24,6;t;17,6;t;24,6;t;1333;t;25,0;t;1301;t;;;;;;;1,6;t;60;t;7,4;t;90;t;1304;t;65;t;64;t;1301;t;67;t;1334;t;43;t
97418110;2024041814;0,0;t;27,7;t;18,4;t;27,0;t;1343;t;28,3;t;1301;t;1016,9;t;1018,4;t;1018,4;t;9,7;t;120;t;14,4;t;130;t;1324;t;57;t;51;t;1306;t;57;t;1346;t;242;t
97418170;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97419320;2024041814;0,4;t;17,9;t;;;17,8;t;1341;t;18,3;t;1301;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97419350;2024041814;0,0;t;24,7;t;17,9;t;24,7;t;1400;t;26,8;t;1305;t;;;;;;;4,1;t;130;t;12,1;t;140;t;1313;t;66;t;59;t;1307;t;66;t;1356;t;131;t
97419380;2024041814;0,0;t;19,1;t;10,9;t;18,8;t;1312;t;19,6;t;1335;t;;;;;;;1,8;t;340;t;5,2;t;350;t;1345;t;59;t;42;t;1311;t;66;t;1320;t;322;t
97420150;2024041814;0,0;t;25,3;t;;;25,2;t;1355;t;26,0;t;1318;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97420180;2024041814;0,0;t;23,3;t;;;22,6;t;1323;t;23,6;t;1336;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97421210;2024041814;0,0;t;21,9;t;;;21,2;t;1305;t;22,8;t;1331;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97421220;2024041814;0,0;t;20,4;t;;;19,4;t;1301;t;20,6;t;1355;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97421240;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97421260;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97421265;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97422440;2024041814;0,0;t;17,4;t;13,2;t;16,1;t;1331;t;18,5;t;1316;t;;;;;;;3,7;t;20;t;8,7;t;10;t;1322;t;76;t;72;t;1320;t;83;t;1335;t;259;t
97422445;2024041814;0,0;t;19,1;t;;;18,9;t;1354;t;21,0;t;1319;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97422455;2024041814;0,0;t;23,0;t;;;22,8;t;1328;t;23,7;t;1356;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97424410;2024041814;0,0;t;20,9;t;15,0;t;20,9;t;1400;t;22,1;t;1301;t;;;;;;;2,3;t;240;t;5,8;t;220;t;1331;t;69;t;62;t;1301;t;70;t;1346;t;158;t
97424450;2024041814;0,0;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97424460;2024041814;0,0;t;25,0;t;;;25,0;t;1358;t;26,4;t;1306;t;;;;;;;;;;;;;;;;;;;;;;;;;;;;
