Id_station;Id_omm;Nom_usuel;Latitude;Longitude;Altitude;Date_ouverture;Pack
97401520;;LE TEVELAVE;-21.211667;55.361333;908;1953-01-01;ETENDU
97401540;;LES AVIRONS - CIRAD;-21.239500;55.327500;180;1952-01-01;ETENDU
97402240;;BELLEVUE BRAS-PANON;-21.005000;55.622667;480;1990-09-01;RADOME
97403410;;LE DIMITILE_SAPC;-21.189000;55.481500;1808;2013-09-27;ETENDU
97403435;;BRAS-LONG_SAPC;-21.228333;55.474667;510;2013-05-22;ETENDU
97404540;;PONT-MATHURIN;-21.265000;55.380000;19;1961-06-01;RADOME
97405420;;PITON-BLOC_SAPC;-21.321167;55.572333;812;1990-01-01;ETENDU
97406220;;PLAINE DES PALMISTES;-21.136167;55.627167;1032;1952-01-01;RADOME
97407520;61981;LE PORT;-20.946167;55.282000;9;1971-04-18;RADOME
97408510;;POSSESSION;-20.921333;55.346167;9;1997-10-01;ETENDU
97408560;;AURERE_SAPC;-21.018833;55.424833;940;1952-01-01;ETENDU
97408580;;LA NOUVELLE_SAPC;-21.076667;55.423333;1415;1970-01-01;ETENDU
97408582;;DOS D'ANE;-20.978500;55.390500;1027;2022-05-02;ETENDU
97409210;;BOIS-ROUGE;-20.913667;55.641333;5;1952-01-01;ETENDU
97409240;;MENCIOL;-20.961167;55.625667;181;1953-01-01;ETENDU
97410202;;BEAUVALLON;-21.008000;55.693333;16;1952-01-01;ETENDU
97410238;;SAINT-BENOIT;-21.058833;55.719333;43;1952-01-01;RADOME
97410250;;TAKAMAKA - PK12_SAPC;-21.076333;55.630833;660;1971-11-01;ETENDU
97410265;;CHEMIN DE CEINTURE_SAPC;-21.076333;55.685500;255;2003-07-24;ETENDU
97411132;;CHAUDRON;-20.897000;55.495000;38;1967-01-01;ETENDU
97411141;;GRANDE-CHALOUPE;-20.898333;55.369833;10;1997-10-01;ETENDU
97411146;;COLORADO_SAPC;-20.910500;55.421500;702;2003-02-26;ETENDU
97411150;;SAINT-FRANCOIS;-20.921333;55.456333;545;1953-03-01;ETENDU
97411155;;MONTAUBAN_SAPC;-20.938667;55.496833;420;2009-09-29;ETENDU
97411164;;LE BRULE - VAL FLEURI_SAPC;-20.941667;55.429500;1069;1956-09-01;ETENDU
97411170;;PLAINE DES CHICOTS_SAPC;-20.987333;55.444833;1834;1982-01-01;ETENDU
97412302;;COMMERSON_SAPC;-21.208000;55.643667;2310;1968-01-01;ETENDU
