DAT;RR;RRI;FF;DD;FXI;DXI;T;TD;U;PMER;UV;RAD;IC;WINDCHILL
15/02/2015-05:00;0.0;0.0;0.0;None;3.2;None;22.3;18.9;81.0;1010.4;0.0;0.0;22.3;22.3
15/02/2015-05:05;0.0;0.0;4.8;225.0;8.0;None;22.2;18.8;81.0;1010.36;0.0;0.0;22.2;22.2
15/02/2015-05:10;0.0;0.0;6.4;225.0;9.7;None;22.2;18.8;81.0;1010.36;0.0;0.0;22.2;22.2
15/02/2015-05:15;0.0;0.0;4.8;225.0;8.0;None;22.2;18.6;80.0;1010.4;0.0;0.0;22.2;22.2
15/02/2015-05:20;0.0;0.0;4.8;225.0;8.0;None;22.3;18.9;81.0;1010.36;0.0;0.0;22.3;22.3
15/02/2015-05:25;0.0;0.0;4.8;225.0;8.0;None;22.2;18.8;81.0;1010.4;0.0;0.0;22.2;22.2
15/02/2015-05:30;0.0;0.0;3.2;225.0;6.4;None;22.2;18.8;81.0;1010.4;0.0;0.0;22.2;22.2
15/02/2015-05:35;0.0;0.0;3.2;202.0;4.8;None;22.2;18.6;80.0;1010.5;0.0;0.0;22.2;22.2
15/02/2015-05:40;0.0;0.0;3.2;225.0;4.8;None;22.2;18.8;81.0;1010.57;0.0;0.0;22.2;22.2
15/02/2015-05:45;0.0;0.0;1.6;315.0;3.2;None;22.1;18.7;81.0;1010.63;0.0;0.0;22.1;22.1
15/02/2015-05:50;0.0;0.0;1.6;248.0;3.2;None;22.1;18.7;81.0;1010.77;0.0;0.0;22.1;22.1
15/02/2015-05:55;0.0;0.0;1.6;248.0;3.2;None;22.0;18.6;81.0;1010.84;0.0;0.0;22.0;22.0
15/02/2015-06:00;0.0;0.0;3.2;225.0;6.4;None;21.9;18.7;82.0;1010.84;0.0;0.0;21.9;21.9
15/02/2015-06:05;0.0;0.0;6.4;225.0;9.7;None;21.8;18.8;83.0;1010.8;0.0;0.0;21.8;21.8
15/02/2015-06:10;0.0;0.0;6.4;225.0;8.0;None;21.7;18.7;83.0;1010.94;0.0;0.0;21.7;21.7
15/02/2015-06:15;0.0;0.0;6.4;225.0;8.0;None;21.6;18.8;84.0;1011.04;0.0;4.0;21.6;21.6
15/02/2015-06:20;0.0;0.0;6.4;225.0;8.0;None;21.5;18.7;84.0;1011.18;0.0;7.0;21.5;21.5
15/02/2015-06:25;0.0;0.0;6.4;225.0;9.7;None;21.4;18.6;84.0;1011.21;0.0;9.0;21.4;21.4
15/02/2015-06:30;0.0;0.0;4.8;225.0;8.0;None;21.4;18.6;84.0;1011.28;0.0;14.0;21.4;21.4
15/02/2015-06:35;0.0;0.0;6.4;225.0;9.7;None;21.4;18.6;84.0;1011.18;0.0;23.0;21.4;21.4
15/02/2015-06:40;0.0;0.0;6.4;225.0;9.7;None;21.5;18.7;84.0;1011.24;0.0;39.0;21.5;21.5
15/02/2015-06:45;0.0;0.0;8.0;225.0;11.3;None;21.6;18.8;84.0;1011.21;0.0;44.0;21.6;21.6
15/02/2015-06:50;0.0;0.0;6.4;225.0;9.7;None;21.7;18.9;84.0;1011.21;0.0;39.0;21.7;21.7
15/02/2015-06:55;0.0;0.0;6.4;225.0;9.7;None;21.9;18.9;83.0;1011.21;0.0;28.0;21.9;21.9
15/02/2015-07:00;0.0;0.0;6.4;225.0;9.7;None;22.1;19.3;84.0;1011.28;0.0;43.0;22.1;22.1
15/02/2015-07:05;0.0;0.0;4.8;225.0;6.4;None;22.3;19.3;83.0;1011.31;0.0;32.0;22.3;22.3
15/02/2015-07:10;0.0;0.0;3.2;225.0;4.8;None;22.6;19.3;82.0;1011.34;0.0;43.0;22.6;22.6
15/02/2015-07:15;0.0;0.0;1.6;225.0;4.8;None;22.8;19.6;82.0;1011.45;0.0;37.0;22.8;22.8
15/02/2015-07:20;0.0;0.0;1.6;225.0;4.8;None;23.1;20.0;83.0;1011.48;0.0;63.0;23.1;23.1
15/02/2015-07:25;0.0;0.0;3.2;225.0;4.8;None;23.3;19.9;81.0;1011.41;1.0;84.0;23.3;23.3
15/02/2015-07:30;0.0;0.0;1.6;225.0;4.8;None;23.6;19.7;79.0;1011.45;0.0;38.0;23.6;23.6
15/02/2015-07:35;0.0;0.0;1.6;225.0;4.8;None;23.8;19.6;77.0;1011.55;0.0;36.0;23.8;23.8
15/02/2015-07:40;0.0;0.0;1.6;202.0;3.2;None;24.1;19.6;76.0;1011.55;0.0;38.0;24.1;24.1
15/02/2015-07:45;0.0;0.0;0.0;None;0.0;None;24.4;19.7;75.0;1011.62;0.0;40.0;24.4;24.4
15/02/2015-07:50;0.0;0.0;0.0;None;0.0;None;24.7;20.0;75.0;1011.68;0.0;42.0;24.7;24.7
15/02/2015-07:55;0.0;0.0;0.0;None;3.2;None;24.9;19.7;73.0;1011.75;0.0;42.0;24.9;24.9
15/02/2015-08:00;0.0;0.0;0.0;None;3.2;None;25.2;19.8;72.0;1011.82;0.0;44.0;25.2;25.2
15/02/2015-08:05;0.0;0.0;0.0;None;1.6;None;25.4;20.1;72.0;1011.85;0.0;45.0;25.4;25.4
15/02/2015-08:10;0.0;0.0;0.0;None;3.2;None;25.7;20.8;74.0;1011.92;0.0;45.0;25.7;25.7
15/02/2015-08:15;0.0;0.0;1.6;135.0;4.8;None;26.0;20.4;71.0;1011.92;1.0;55.0;26.0;26.0
15/02/2015-08:20;0.0;0.0;1.6;68.0;4.8;None;26.2;20.3;70.0;1011.92;1.0;74.0;26.2;26.2
15/02/2015-08:25;0.0;0.0;1.6;22.0;4.8;None;26.4;20.1;68.0;1011.95;1.0;54.0;26.4;26.4
15/02/2015-08:30;0.0;0.0;1.6;22.0;4.8;None;26.7;20.1;67.0;1012.06;2.0;122.0;28.2;26.7
15/02/2015-08:35;0.0;0.0;1.6;22.0;4.8;None;26.9;20.3;67.0;1012.02;3.0;398.0;28.4;26.9
15/02/2015-08:40;0.0;0.0;1.6;338.0;6.4;None;27.1;20.4;67.0;1012.09;3.0;530.0;28.7;27.1
15/02/2015-08:45;0.0;0.0;0.0;None;1.6;None;27.4;20.5;66.0;1012.02;4.0;552.0;29.1;27.4
15/02/2015-08:50;0.0;0.0;6.4;68.0;12.9;None;27.4;20.1;64.0;1012.12;4.0;573.0;29.0;27.4
15/02/2015-08:55;0.0;0.0;4.8;68.0;9.7;None;27.4;20.7;67.0;1012.12;4.0;591.0;29.2;27.4
15/02/2015-09:00;0.0;0.0;1.6;68.0;6.4;None;27.7;20.3;64.0;1012.23;4.0;607.0;29.4;27.7
15/02/2015-09:05;0.0;0.0;3.2;112.0;6.4;None;28.0;20.8;65.0;1012.23;5.0;627.0;30.0;28.0
15/02/2015-09:10;0.0;0.0;1.6;112.0;4.8;None;28.4;21.0;64.0;1012.16;5.0;646.0;30.7;28.4
15/02/2015-09:15;0.0;0.0;3.2;68.0;8.0;None;28.5;20.8;63.0;1012.16;5.0;666.0;30.6;28.5
15/02/2015-09:20;0.0;0.0;3.2;112.0;8.0;None;28.5;21.1;64.0;1012.19;5.0;698.0;30.8;28.5
15/02/2015-09:25;0.0;0.0;3.2;68.0;6.4;None;28.7;20.4;61.0;1012.23;6.0;735.0;30.6;28.7
15/02/2015-09:30;0.0;0.0;3.2;158.0;6.4;None;28.7;20.5;61.0;1012.19;6.0;744.0;30.7;28.7
15/02/2015-09:35;0.0;0.0;3.2;68.0;11.3;None;28.6;20.6;62.0;1012.19;5.0;580.0;30.7;28.6
15/02/2015-09:40;0.0;0.0;3.2;68.0;8.0;None;28.6;20.9;63.0;1012.26;7.0;772.0;30.7;28.6
15/02/2015-09:45;0.0;0.0;4.8;68.0;8.0;None;28.7;20.7;62.0;1012.19;6.0;540.0;30.8;28.7
15/02/2015-09:50;0.0;0.0;3.2;45.0;12.9;None;28.5;21.1;64.0;1012.12;5.0;363.0;30.8;28.5
15/02/2015-09:55;0.0;0.0;4.8;68.0;11.3;None;28.0;21.1;66.0;1012.23;4.0;333.0;30.2;28.0
15/02/2015-10:00;0.0;0.0;4.8;68.0;12.9;None;27.7;21.3;68.0;1012.26;6.0;428.0;29.9;27.7
15/02/2015-10:05;0.0;0.0;3.2;68.0;11.3;None;27.9;21.0;66.0;1012.26;7.0;908.0;30.1;27.9
15/02/2015-10:10;0.0;0.0;6.4;68.0;14.5;None;28.3;21.6;67.0;1012.33;8.0;986.0;30.8;28.3
15/02/2015-10:15;0.0;0.0;6.4;68.0;14.5;None;28.1;21.9;69.0;1012.29;7.0;861.0;30.6;28.1
15/02/2015-10:20;0.0;0.0;3.2;68.0;12.9;None;28.1;21.9;69.0;1012.23;7.0;541.0;30.6;28.1
15/02/2015-10:25;0.0;0.0;4.8;68.0;12.9;None;28.1;21.6;68.0;1012.29;7.0;823.0;30.5;28.1
15/02/2015-10:30;0.0;0.0;3.2;68.0;12.9;None;28.1;21.9;69.0;1012.26;7.0;251.0;30.7;28.1
